,Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
0,1,60,8450,7,5,2003,2003,706,150,856,856,854,1710,1,2,1,3,1,8,0,2,548,0,61,0,0,0,0,0,2,2008,0.34715427018010064
1,2,20,9600,6,8,1976,1976,978,284,1262,1262,0,1262,0,2,0,3,1,6,1,2,460,298,0,0,0,0,0,0,5,2007,0.007285824194667162
2,3,60,11250,7,5,2001,2002,486,434,920,920,866,1786,1,2,1,3,1,6,1,2,608,0,42,0,0,0,0,0,9,2008,0.5359700735053414
3,4,70,9550,7,5,1915,1970,216,540,756,961,756,1717,1,1,0,3,1,7,1,3,642,0,35,272,0,0,0,0,2,2006,-0.5151045650051658
4,5,60,14260,8,5,2000,2000,655,490,1145,1145,1053,2198,1,2,1,4,1,9,1,3,836,192,84,0,0,0,0,0,12,2008,0.8695446593799336
5,6,50,14115,5,5,1993,1995,732,64,796,796,566,1362,1,1,1,1,1,5,0,2,480,40,30,0,320,0,0,700,10,2009,-0.4773414043401176
6,7,20,10084,8,5,2004,2005,1369,317,1686,1694,0,1694,1,2,0,3,1,7,1,2,636,255,57,0,0,0,0,0,8,2007,1.5870447120158486
7,8,60,10382,7,6,1973,1973,859,216,1107,1107,983,2090,1,2,1,3,1,7,2,2,484,235,204,228,0,0,0,350,11,2009,0.2401586482957975
8,9,50,6120,7,5,1931,1950,0,952,952,1022,752,1774,0,2,0,2,2,8,2,2,468,90,0,205,0,0,0,0,4,2008,-0.6422405392441612
9,10,190,7420,5,6,1939,1950,851,140,991,1077,0,1077,1,1,0,2,2,5,2,1,205,0,4,0,0,0,0,0,1,2008,-0.7920344098821857
10,11,20,11200,5,5,1965,1965,906,134,1040,1040,0,1040,1,1,0,3,1,5,0,1,384,0,0,0,0,0,0,0,2,2008,-0.6472756273328344
11,12,60,11924,9,5,2005,2006,998,177,1175,1182,1142,2324,1,3,0,4,1,11,2,3,736,147,21,0,0,0,0,0,7,2006,2.065378080439792
12,13,20,12968,5,6,1962,1962,737,175,912,912,0,912,1,1,0,2,1,4,0,1,352,140,0,0,0,176,0,0,9,2008,-0.4647536841184349
13,14,20,10652,7,5,2006,2007,0,1494,1494,1494,0,1494,0,2,0,3,1,7,1,3,840,160,33,0,0,0,0,0,8,2007,1.240882405919574
14,15,20,10920,6,5,1960,1960,733,520,1253,1253,0,1253,1,1,1,2,1,5,1,1,352,0,213,176,0,0,0,0,5,2008,-0.30111332123655954
15,16,45,6120,7,8,1929,2001,0,832,832,854,0,854,0,1,0,2,1,5,0,2,576,48,112,0,0,0,0,0,7,2007,-0.6158063267786276
16,17,20,11241,6,7,1970,1970,578,426,1004,1004,0,1004,1,1,0,2,1,5,1,2,480,0,0,0,0,0,0,700,3,2010,-0.4018150830100213
17,18,90,10791,4,5,1967,1967,0,0,0,1296,0,1296,0,2,0,2,2,6,0,2,516,0,0,0,0,0,0,500,10,2006,-1.1444905760893018
